ID|NAME
1|Sam Worthington
2|Zoe Saldana
3|Sigourney Weaver
4|Stephen Lang
5|Michelle Rodriguez
6|Giovanni Ribisi
7|Joel David Moore
8|CCH Pounder
9|Wes Studi
10|Laz Alonso
11|Dileep Rao
12|Matt Gerald
13|Sean Anthony Moran
14|Jason Whyte
15|Scott Lawrence
16|Kelly Kilgour
17|James Patrick Pitt
18|Sean Patrick Murphy
19|Peter Dillon
20|Kevin Dorman
21|Kelson Henderson
22|David Van Horn
23|Jacob Tomuri
24|Michael Blain-Rozgay
25|Jon Curry
26|Luke Hawker
27|Woody Schultz
28|Peter Mensah
29|Sonia Yee
30|Jahnel Curfman
31|Ilram Choi
32|Kyla Warren
33|Lisa Roumain
34|Debra Wilson
35|Chris Mala
36|Taylor Kibby
37|Jodie Landau
38|Julie Lamm
39|Cullen B. Madden
40|Joseph Brady Madden
41|Frankie Torres
42|Austin Wilson
43|Sara Wilson
44|Tamica Washington-Miller
45|Lucy Briant
46|Nathan Meister
47|Gerry Blair
48|Matthew Chamberlain
49|Paul Yates
50|Wray Wilson
51|James Gaylyn
52|Melvin Leno Clark III
53|Carvon Futrell
54|Brandon Jelkes
55|Micah Moch
56|Hanniyah Muhammad
57|Christopher Nolen
58|Christa Oliver
59|April Marie Thomas
60|Bravita A. Threatt
61|Colin Bleasdale
62|Mike Bodnar
63|Matt Clayton
64|Nicole Dionne
65|Jamie Harrison
66|Allan Henry
67|Anthony Ingruber
68|Ashley Jeffery
69|Dean Knowsley
70|Joseph Mika-Hunt
71|Terry Notary
72|Kai Pantano
73|Logan Pithyou
74|Stuart Pollock
75|Raja
76|Gareth Ruck
77|Rhian Sheehan
78|T. J. Storm
79|Jodie Taylor
80|Alicia Vela-Bailey
81|Richard Whiteside
82|Nikie Zambo
83|Julene Renee
84|Johnny Depp
85|Orlando Bloom
86|Keira Knightley
87|Stellan Skarsgård
88|Chow Yun-fat
89|Bill Nighy
90|Geoffrey Rush
91|Jack Davenport
92|Kevin McNally
93|Tom Hollander
94|Naomie Harris
95|Jonathan Pryce
96|Keith Richards
97|Lee Arenberg
98|Mackenzie Crook
99|Greg Ellis
100|David Bailie
101|Martin Klebba
102|David Schofield
103|Lauren Maher
104|Vanessa Branch
105|Angus Barnett
106|Giles New
107|Reggie Lee
108|Dominic Scott Kay
109|Takayo Fischer
110|David Meunier
111|Ho-Kwan Tse
112|Andy Beckwith
113|Peter Donald Badalamenti II
114|Christopher S. Capp
115|Hakeem Kae-Kazim
116|Ghassan Massoud
117|Daniel Craig
118|Christoph Waltz
119|Léa Seydoux
120|Ralph Fiennes
121|Monica Bellucci
